,0
0,GISS-E2-1-G
1,CESM2
2,FGOALS-g3
3,CNRM-CM6-1
4,AWI-ESM-1-1-LR
5,NESM3
6,MIROC-ES2L
7,MPI-ESM1-2-LR
8,NorESM2-LM
9,NorESM1-F
10,INM-CM4-8
11,IPSL-CM6A-LR
12,ACCESS-ESM1-5
13,HadGEM3-GC31-LL
14,FGOALS-f3-L
15,AWI-ESM-2-1-LR
16,EC-Earth3-LR
