latitude,CESM2,IPSLCM6A,COSMOS,EC-Earth3.3,CESM1.2,IPSLCM5A,MIROC4m,IPSLCM5A2,HadCM3,GISS2.1G,CCSM4,CCSM4-Utr,CCSM4-UoT,NorESM-L,MRI2.3,NorESM1-F
-45.5,4.68,2.79,1.65,3.38,3.82,1.24,1.99,1.33,2.12,2.46,2.65,4.41,3.66,2.39,0.65,1.64
-44.5,4.61,2.73,1.65,3.35,3.73,1.28,1.94,1.37,2.06,2.37,2.55,4.23,3.53,2.33,0.62,1.59
-43.5,4.54,2.68,1.66,3.34,3.64,1.32,1.89,1.43,1.94,2.27,2.45,4.07,3.39,2.26,0.58,1.54
-42.5,4.46,2.63,1.66,3.3,3.54,1.36,1.83,1.48,1.84,2.17,2.34,3.93,3.22,2.19,0.6,1.48
-41.5,4.41,2.54,1.69,3.21,3.45,1.4,1.79,1.53,1.74,2.07,2.25,3.81,3.07,2.12,0.63,1.45
-40.5,4.35,2.42,1.71,3.12,3.37,1.43,1.74,1.55,1.63,1.98,2.17,3.7,2.97,2.03,0.67,1.41
-39.5,4.3,2.3,1.73,3.06,3.3,1.42,1.71,1.53,1.58,1.92,2.09,3.61,2.87,1.96,0.73,1.39
-38.5,4.24,2.24,1.74,3.02,3.22,1.39,1.7,1.5,1.56,1.85,2,3.52,2.76,1.88,0.79,1.37
-37.5,4.18,2.17,1.73,2.99,3.14,1.34,1.68,1.44,1.56,1.77,1.92,3.42,2.65,1.82,0.85,1.34
-36.5,4.11,2.11,1.71,2.97,3.07,1.31,1.71,1.39,1.6,1.71,1.85,3.32,2.57,1.75,0.93,1.32
-35.5,4.04,2.09,1.7,2.96,3,1.28,1.75,1.35,1.65,1.67,1.78,3.21,2.47,1.69,1,1.28
-34.5,3.99,2.1,1.73,2.95,2.95,1.27,1.78,1.34,1.69,1.64,1.72,3.14,2.39,1.64,1.09,1.26
-33.5,3.95,2.1,1.77,2.96,2.9,1.26,1.81,1.34,1.71,1.62,1.66,3.09,2.34,1.61,1.17,1.24
-32.5,3.91,2.08,1.81,2.98,2.87,1.25,1.84,1.34,1.73,1.6,1.62,3.07,2.28,1.56,1.26,1.22
-31.5,3.88,2.08,1.84,2.98,2.81,1.24,1.87,1.34,1.77,1.58,1.6,3.06,2.21,1.52,1.31,1.21
-30.5,3.86,2.03,1.9,2.99,2.77,1.23,1.89,1.36,1.81,1.54,1.56,3.04,2.2,1.49,1.33,1.19
-29.5,3.88,2,1.97,2.97,2.74,1.23,1.92,1.36,1.82,1.49,1.54,3.01,2.15,1.45,1.34,1.17
-28.5,3.88,1.97,2.04,2.96,2.71,1.23,1.97,1.35,1.81,1.47,1.52,2.99,2.12,1.41,1.35,1.16
-27.5,3.85,1.94,2.1,2.95,2.68,1.22,2.02,1.35,1.79,1.44,1.49,2.98,2.06,1.37,1.37,1.15
-26.5,3.86,1.93,2.15,2.91,2.65,1.23,2.08,1.35,1.76,1.43,1.47,2.94,2.02,1.29,1.38,1.11
-25.5,3.83,1.93,2.19,2.89,2.6,1.24,2.15,1.35,1.74,1.41,1.43,2.91,2.02,1.21,1.39,1.07
-24.5,3.78,1.93,2.24,2.9,2.58,1.27,2.22,1.37,1.72,1.4,1.44,2.87,2.01,1.14,1.39,1.05
-23.5,3.77,1.95,2.28,2.9,2.59,1.29,2.28,1.39,1.72,1.37,1.46,2.83,1.96,1.1,1.39,1.02
-22.5,3.76,1.96,2.3,2.89,2.58,1.3,2.31,1.39,1.71,1.34,1.44,2.78,1.9,1.08,1.42,1.01
-21.5,3.75,1.94,2.32,2.89,2.54,1.32,2.35,1.39,1.72,1.32,1.41,2.75,1.91,1.06,1.45,0.98
-20.5,3.75,1.96,2.35,2.92,2.5,1.35,2.37,1.4,1.72,1.29,1.39,2.72,1.88,1.04,1.46,0.95
-19.5,3.74,1.95,2.36,2.94,2.49,1.38,2.4,1.41,1.72,1.24,1.39,2.7,1.84,1.03,1.47,0.94
-18.5,3.72,1.97,2.38,2.93,2.48,1.43,2.43,1.41,1.7,1.22,1.38,2.71,1.86,1.01,1.48,0.96
-17.5,3.72,2.02,2.4,2.95,2.49,1.45,2.43,1.43,1.7,1.19,1.39,2.73,1.9,1.01,1.49,0.99
-16.5,3.7,2.05,2.41,2.96,2.5,1.49,2.44,1.49,1.72,1.18,1.42,2.73,1.93,0.99,1.5,1.03
-15.5,3.74,2.08,2.4,2.99,2.54,1.5,2.43,1.53,1.75,1.18,1.43,2.77,1.96,0.98,1.49,1.1
