,0
0,NorESM2-LM
1,AWI-ESM-1-1-LR
2,IPSL-CM6A-LR
3,NorESM1-F
4,MPI-ESM1-2-LR
5,GISS-E2-1-G
6,UofT-CCSM-4
7,EC-Earth3-LR
8,INM-CM4-8
9,MRI-ESM2-0
10,FGOALS-f3-L
11,HadGEM3-GC31-LL
12,FGOALS-g3
13,NESM3
14,MIROC-ES2L
15,CESM2
