models,ECS,dT
CESM2,5.3,5.2
EC-Earth3.3,4.3,4.85
GISS2.1G,2.7,2.1
IPSLCM6A,4.8,3.4
CCSM4,3.2,2.7
CCSM4-UoT,3.2,3.8
CCSM4-Utr,3.2,4.7
CESM1.2,4.1,4
COSMOS,4.7,3.4
HadCM3,3.5,2.9
IPSLCM5A,4.1,2.3
IPSLCM5A2,3.6,2.2
MIROC4m,3.9,3.1
MRI2.3,2.8,2.4
NorESM-L,3.1,2.1
NorESM1-F,2.3,1.7
