models,ECS,dT
CCSM4,3.2,1.86
COSMOS,4.1,3.6
GISS-E2-R,2.7,2.12
HadCM3,3.1,3.27
IPSLCM5A,3.4,2.18
MIROC4m,4.05,3.46
MRI-CGCM2.3,3.2,1.84
NorESM-L,3.1,3.27
