models,ECS,dT
AWI-ESM-1-1-LR,3.6,0.53
CESM2,5.3,0.35
CNRM-CM6-1,5.1,0.46
FGOALS-f3-L,3,0.5
GISS-E2-1-G,2.7,0.26
INM-CM4-8,2.1,0.53
IPSL-CM6A-LR,4.5,0.77
MIROC-ES2L,2.7,0.31
MRI-ESM2-0,3.1,0.21
NESM3,3.7,0.19
NorESM2-LM,2.5,0.17
