models,ECS,dT
AWI-ESM-1-1-LR,3.6,-0.44
CESM2,5.3,-0.21
EC-Earth3-LR,4.3,-0.05
FGOALS-f3-L,3,-0.37
FGOALS-g3,2.9,-0.23
GISS-E2-1-G,2.7,-0.38
HadGEM3-GC31-LL,5.4,-0.13
INM-CM4-8,2.1,-0.3
IPSL-CM6A-LR,4.5,-0.36
MIROC-ES2L,2.7,-0.47
MPI-ESM1-2-LR,2.8,-0.36
MRI-ESM2-0,3.1,-0.18
NESM3,3.7,-0.27
NorESM2-LM,2.5,-0.22
NorESM1-F,2.3,-0.36
UofT-CCSM-4,3.2,-0.17
