models,ECS,dT
CESM_6x,,16.5472
CESM_9x,,22.2484
GFDL_4x,,11.8602
GFDL_6x,,14.597
INMCM,,10.1526
NorESM1-f,,9.62305
CCSM_K,,14.7192
COSMOS,,13.0434
