models,ECS,dT
BCC-CSM1-1,3.1,-0.14
CCSM4,2.9,-0.26
CNRM-CM5,3.3,0.18
CSIRO-Mk3-6-0,4.1,0.02
CSIRO-Mk3L-1-2,3.1,-0.01
EC-EARTH-2-2,4.2,-0.11
FGOALS-g2,3.7,-0.73
FGOALS-s2,4.5,-0.16
GISS-E2-R,2.1,-0.1
HadGEM2-CC,4.5,0.22
HadGEM2-ES,4.6,0.24
IPSL-CM5A-LR,4.1,-0.09
MIROC-ESM,4.7,-0.25
MPI-ESM-P,3.5,-0.24
MRI-CGCM3,2.6,-0.02
