models,ECS,dT
ACCESS-ESM1-5,3.9,0.33
AWI-ESM-1-1-LR,3.6,-0.25
AWI-ESM-2-1-LR,3.6,-0.2
CESM2,5.3,-0.11
CNRM-CM6-1,5.1,0.4
EC-Earth3-LR,4.3,0.45
FGOALS-f3-L,3,-0.48
FGOALS-g3,2.9,0.38
GISS-E2-1-G,2.7,-0.12
HadGEM3-GC31-LL,5.4,0.56
INM-CM4-8,2.1,-0.2
IPSL-CM6A-LR,4.5,-0.29
MIROC-ES2L,2.7,-0.4
MPI-ESM1-2-LR,2.8,-0.12
NESM3,3.7,0.07
NorESM2-LM ,2.5,-0.11
NorESM1-F,2.3,-0.24
