models,ECS,dT
AWIESM1,3.6,3.75
AWIESM2,3.6,3.81
CESM1-2,4.1,6.8
HadGEM3-PMIP3,5.4,7.16
HadGEM3-ICE6GC,5.4,5.92
HadGEM3-GLAC1D,5.4,6.46
iLOVECLIM-ICE-6G,3.2,3.28
iLOVECLIM-GLAC1D,3.2,3.26
INM-CM4-8,2.1,3.73
IPSLCM5A2,4.1,4.88
MIROC-ES2L,2.7,4.02
MPI-PMIP4,2.8,3.9
UT-CCSM4,3.2,5.27
CESM2-1,5.3,11.21
