models,ECS,dT
BCC-CSM1-1,3.1,0.75
CCSM4,2.9,0.68
CNRM-CM5,3.3,0.52
CSIRO-Mk3-6-0,4.1,0.3
CSIRO-Mk3L-1-2,3.1,0.61
FGOALS-g2,3.7,0.18
GISS-E2-R,2.1,0.52
HadGEM2-CC,4.5,0.18
HadGEM2-ES,4.6,0
IPSL-CM5A-LR,4.1,0.82
MIROC-ESM,4.7,0.28
MPI-ESM-P,3.5,0.49
MRI-CGCM3,2.6,0.33
