Site Name,Latitude,Longitude,Anom-2SD,Anom-1SD,Anom,Anom+1SD,Anom+2SD,1SD,2SD
MD06-3018,-23,166.13,1.8,2.6,3.5,4.5,5.4,1,1.9
V28-238,1.02,160.48,-2.7,-1.5,-0.4,0.8,2,1.2,2.4
Y71-6-12,-16.45,-77.57,-3.7,-1.3,1.1,3.2,5.3,2.1,4.2
MD01-2444,37.57,-10.13,-3.2,-0.4,2.5,3.5,4.5,1,2
MD01-2444,37.57,-10.13,1.9,3,4,5,6,1,2
MD02-2575,29,-87.11,1.2,2.2,3.2,4.2,5.1,1,1.9
M35027-1,17.64,-67.17,-4,-2.8,-1.6,-0.6,0.5,1,2.1
MD03-2707,2.5,9.39,-2.5,-1.6,-0.8,0.2,1.2,1,2
GIK15637-1,27,-18.98,-1.8,-0.9,0,0.9,1.9,0.9,1.9
M12392-1,25.16,-16.85,-5.7,-4.5,-3.2,-1.9,-0.7,1.3,2.5
TR126-29,21.33,-93.95,-3,-2.1,-1.2,-0.4,0.5,0.8,1.7
TR126-23,20.48,-95.62,-2.9,-2,-1,-0.2,0.7,0.8,1.7
V22-196,13.83,-18.97,-5.5,-2.7,0.1,1.5,2.8,1.4,2.7
V28-127,11.65,-80.13,-2.5,-1.4,-0.2,1,2.3,1.2,2.5
V25-59,1.37,-33.48,-2.9,-1.9,-0.9,0.2,1.2,1.1,2.1
