,latitude,longitude,mean,se,row,col,lat,lon,pi,anom
54,31.66,-88.1,21.3,5.0,121.0,91.0,31.5,-88.5,19.066741943359375,2.2332580566406257
55,27.9,72.9,24.3,2.9,117.0,252.0,27.5,72.5,26.22052001953125,-1.9205200195312493
56,21.65,72.2,28.46,4.72,111.0,252.0,21.5,72.5,25.705902099609375,2.754097900390626
57,-25.0,-70.0,11.0,2.0,64.0,109.0,-25.5,-70.5,17.84820556640625,-6.84820556640625
58,-25.0,-70.0,9.5,4.0,64.0,109.0,-25.5,-70.5,17.84820556640625,-8.34820556640625
59,-36.58,-72.97,19.3,2.1,53.0,107.0,-36.5,-72.5,13.130950927734375,6.169049072265626
60,-36.58,-72.97,25.5,2.1,53.0,107.0,-36.5,-72.5,13.130950927734375,12.369049072265625
61,-36.58,-72.97,22.8,2.1,53.0,107.0,-36.5,-72.5,13.130950927734375,9.669049072265626
62,-43.07,172.74,20.79,5.8,46.0,352.0,-43.5,172.5,12.013580322265625,8.776419677734374
63,-43.07,172.74,16.4,7.2,46.0,352.0,-43.5,172.5,12.013580322265625,4.386419677734374
64,-43.07,172.74,20.0,5.4,46.0,352.0,-43.5,172.5,12.013580322265625,7.986419677734375
65,-44.5,170.9,27.87,4.75,45.0,350.0,-44.5,170.5,11.460357666015625,16.409642333984376
66,-42.17,-70.0,18.3,2.1,47.0,109.0,-42.5,-70.5,8.995025634765625,9.304974365234376
67,-42.17,-70.0,20.9,2.1,47.0,109.0,-42.5,-70.5,8.995025634765625,11.904974365234374
68,-42.17,-70.0,20.6,2.1,47.0,109.0,-42.5,-70.5,8.995025634765625,11.604974365234376
69,-42.5,-70.0,17.5,2.1,47.0,109.0,-42.5,-70.5,8.995025634765625,8.504974365234375
70,-42.5,-70.0,10.9,4.0,47.0,109.0,-42.5,-70.5,8.995025634765625,1.9049743652343754
71,-42.5,-70.0,16.9,1.7,47.0,109.0,-42.5,-70.5,8.995025634765625,7.904974365234374
72,-42.5,-70.0,20.7,5.8,47.0,109.0,-42.5,-70.5,8.995025634765625,11.704974365234374
73,-42.5,-70.0,14.1,4.8,47.0,109.0,-42.5,-70.5,8.995025634765625,5.104974365234375
74,-42.5,-70.0,19.6,2.1,47.0,109.0,-42.5,-70.5,8.995025634765625,10.604974365234376
75,-42.5,-70.0,19.3,2.2,47.0,109.0,-42.5,-70.5,8.995025634765625,10.304974365234376
76,-63.18,135.59,20.11,5.2,26.0,315.0,-63.5,135.5,-6.440582275390625,26.550582275390624
77,-63.18,135.59,15.81,3.4,26.0,315.0,-63.5,135.5,-6.440582275390625,22.250582275390627
78,-63.18,135.59,18.41,4.5,26.0,315.0,-63.5,135.5,-6.440582275390625,24.850582275390625
79,-42.15,145.3,24.3,3.3,47.0,325.0,-42.5,145.5,13.047210693359375,11.252789306640626
80,-42.15,145.3,23.0,3.3,47.0,325.0,-42.5,145.5,13.047210693359375,9.952789306640625
81,-42.15,145.3,22.7,1.8,47.0,325.0,-42.5,145.5,13.047210693359375,9.652789306640624
82,-43.57,149.55,21.95,5.1,46.0,329.0,-43.5,149.5,13.27911376953125,8.67088623046875
