# Reconstruction of anomalies of the Last Glacial Maximum (ca 21000 years ago) made by combining pollen based reconstructions and average PMIP3 outputs under a variational data assimilation technique.,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# Variables are given as:,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# lat - grid cell centre latitude,,,,,,,,,,,,,
# lon - grid cell centre longitude,,,,,,,,,,,,,
# MI - moisture index,,,,,,,,,,,,,
# MAP - mean annual precipitation (mm),,,,,,,,,,,,,
# MAT - mean annual temperature (degrees C),,,,,,,,,,,,,
# MTCO - mean temperature of the coldest month (degrees C),,,,,,,,,,,,,
# MTWA - mean temperature of the warmest month (degrees C),,,,,,,,,,,,,
# GDD5 - growing degree days above 5 degrees C (days degrees C),,,,,,,,,,,,,
# MI SD - moisture index standard deviation,,,,,,,,,,,,,
# MAP SD - mean annual precipitation standard deviation (mm),,,,,,,,,,,,,
# MAT SD - mean annual temperature standard deviation (degrees C),,,,,,,,,,,,,
# MTCO SD - mean temperature of the coldest month standard deviation (degrees C),,,,,,,,,,,,,
# MTWA SD - mean temperature of the warmest month standard deviation (degrees C),,,,,,,,,,,,,
# GDD5 SD - growing degree days above 5 degrees C standard deviation (days degrees C).,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# NaN values represent situations where a reconstruction isn't given.,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
 lat, lon, MI, MAP, MAT, MTCO, MTWA, GDD5, MI SD, MAP SD, MAT_SD, MTCO SD, MTWA SD, GDD5 SD
65,-141,  nan,66.826,0.460975,2.9594,-3.07615,  nan,  nan,31.5964,0.866338,0.958573,1.2307,  nan
67,-141,  nan,92.515,1.753319,3.8087,-0.2241,38.691,  nan,23.5474,0.565759,0.708938,0.719034,67.5122
69,-141,  nan,154.3,0.161855,1.0897,0.06961,9.2685,  nan,26.2953,0.432127,0.552518,0.44033,36.6895
65,-139,  nan,65.034,0.178599,3.1904,-3.7999,  nan,  nan,44.945,0.998072,1.05429,1.50093,  nan
67,-139,  nan,111.908,0.836963,3.3599,-1.544,-75.219,  nan,32.6916,0.702022,0.82443,0.995311,89.2589
39,-123,0.375107,299.32,-3.265178,-3.81784,-4.8929,-1131.8,0.08647,94.5466,0.74046,0.771249,1.16256,235.243
41,-123,0.341455,125.63,-3.163996,-4.02317,-4.8601,-724.62,0.083571,72.9407,0.578819,0.695316,0.947808,145.117
43,-123,0.045174,-127.875,-3.206461,-4.83314,-5.11623,-602.645,0.038442,23.9882,0.363017,0.6977,0.556367,70.4037
37,-121,0.262842,267.936,-4.291185,-4.59637,-5.8916,-1429.77,0.068247,82.7098,0.80169,0.85635,1.31192,253.984
41,-121,0.165194,91.328,-0.846105,-2.25017,-0.8595,-109.25,0.058683,52.7812,0.586594,0.71248,1.01889,150.97
43,-121,0.024365,15.064,2.082333,-0.28313,3.1187,554.24,0.005601,7.09748,0.260955,0.653201,0.537028,82.5623
35,-119,0.347166,353.847,-5.509564,-6.169404,-6.1832,-1665.64,0.069265,76.9118,0.760499,0.967324,1.16171,199.84
41,-119,0.030857,20.743,0.596849,-1.48148,1.5074,289.75,0.012157,36.0824,0.608829,0.734859,0.969564,154.457
43,-119,-0.058841,-47.221,3.334149,1.01056,5.2812,937.49,0.012339,28.4462,0.570012,0.796906,0.950511,159.066
33,-117,0.231203,264.211,-5.695711,-6.80004,-5.1901,-2078.95,0.048098,64.8076,0.821843,1.13514,1.15368,299.973
35,-117,0.249502,313.651,-5.880289,-6.50276,-6.3435,-2046.05,0.032396,54.534,0.641539,0.874598,0.943015,197.917
37,-117,0.278849,281.118,-5.261527,-6.01471,-5.7159,-1217.67,0.027992,42.2118,0.433056,0.695529,0.648292,99.5901
39,-117,0.192283,142.068,-1.713819,-2.98664,-1.8106,-246.2,0.03516,37.9028,0.601287,0.751936,0.868192,127.859
41,-117,0.049108,35.804,1.326756,-0.73877,2.1505,433.8,0.027914,45.8496,0.720501,0.856444,1.05573,179.033
43,-117,-0.05163,-35.653,3.754396,0.75946,5.8196,1190,0.040446,56.2389,0.899845,1.03727,1.39785,267.706
33,-115,0.22456,302.65,-6.616436,-7.64222,-6.3344,-2374.24,0.032868,61.7264,0.748085,1.00788,1.07167,226.952
35,-115,0.27953,276.931,-5.803238,-6.4526,-5.9032,-1336.97,0.033151,44.6807,0.592513,0.808504,0.806227,130.09
37,-115,0.201779,202.887,-3.675307,-4.45688,-3.4804,-855.18,0.020922,33.492,0.392666,0.732753,0.466267,83.8358
39,-115,0.172315,135.121,-1.281432,-2.22324,-1.1879,-178.51,0.033274,35.7042,0.554292,0.795393,0.699388,131.245
41,-115,0.105401,92.726,1.455555,-0.42507,2.2265,508.02,0.040536,52.8941,0.855418,1.00199,1.21002,233.956
27,-113,  nan,239.12,-5.390433,-7.40121,-4.0072,-1967.51,  nan,97.5068,1.0182,1.13843,1.4166,371.643
31,-113,  nan,320.375,-7.257453,-9.03792,-6.0484,-2648.98,  nan,65.313,0.793352,0.99307,1.2023,289.573
33,-113,0.262368,327.97,-7.61849,-8.60271,-7.2472,-2609.55,0.03105,46.4065,0.660325,0.819814,0.92453,185.262
35,-113,0.456635,336.512,-6.92776,-7.95695,-6.8694,-1197.826,0.042655,37.4098,0.556919,0.700629,0.751245,95.6384
37,-113,0.364191,314.234,-4.293856,-5.04215,-4.0891,-902.72,0.036702,36.9275,0.490418,0.775591,0.640381,111.158
39,-113,0.233961,189.219,-1.444098,-2.04866,-1.1231,-181.16,0.035365,40.7918,0.665196,0.916354,0.867787,159.01
41,-113,0.129151,105.495,0.630953,-0.93522,1.9331,379.55,0.053337,65.526,0.970574,1.13194,1.36722,239.458
43,-113,0.038618,36.055,2.038683,0.23121,4.3405,  nan,0.043088,69.7427,1.34835,1.50765,2.02462,  nan
29,-111,  nan,268.835,-6.777264,-8.41821,-5.2802,-2473.69,  nan,70.8756,0.830783,0.98131,1.17312,303.236
31,-111,0.419222,369.806,-7.882098,-9.12547,-7.1142,-2134.5,0.043603,47.4205,0.612093,0.774948,0.808228,139.241
33,-111,0.439654,410.83,-8.715874,-9.70435,-8.4719,-2261.88,0.03123,33.813,0.486464,0.599917,0.65536,113.696
35,-111,0.47798,384.379,-8.39099,-9.58819,-7.9276,-1630.27,0.03733,34.4208,0.49313,0.600787,0.608757,83.5534
37,-111,0.317822,284.791,-5.256341,-6.1991,-4.6854,-1044.94,0.028339,32.1359,0.424397,0.5921,0.495712,93.8159
39,-111,0.240879,199.153,-2.355488,-2.51993,-1.7376,-392.9,0.041465,51.5641,0.760303,0.898834,0.993561,179.14
27,-109,0.250332,266.714,-5.835499,-7.25765,-4.6011,-2129.94,0.075685,103.694,0.905714,1.02896,1.33678,330.586
29,-109,0.405139,371.17,-7.063142,-7.79936,-6.4583,-2497.32,0.060862,72.2554,0.717456,0.807804,1.05876,222.409
31,-109,0.456043,400.507,-8.37402,-9.07961,-8.216,-2162.75,0.038336,40.7144,0.533216,0.631636,0.712741,127.849
33,-109,0.679952,458.89,-9.376683,-10.3594,-9.20636,-1495.969,0.012873,4.99354,0.301402,0.400061,0.436096,37.0786
35,-109,0.601084,421.181,-8.930138,-10.0444,-8.2272,-1431.211,0.043566,34.6174,0.491,0.600107,0.571434,69.0752
37,-109,0.419216,318.089,-5.774101,-6.571,-4.7992,-933.61,0.056833,48.6953,0.566517,0.68201,0.663076,97.0441
39,-109,0.380541,226.143,-2.939637,-3.331,-1.9805,  nan,0.091007,67.3508,0.856399,0.98696,1.06056,  nan
