lat, lon, mat_anm_mean, mat_se_mean, mat_tstat,mat_sig, mat_sig_val,mat_npts
   37.000000,  -111.000000,        -2.0980,         1.0080,        -2.0813,        -1.0000,        -2.0980,     1
   39.000000,  -111.000000,         0.0950,         0.6187,         0.1535,         0.0000,         0.0000,     1
   43.000000,  -111.000000,        -0.1563,         0.4134,        -0.3781,         0.0000,         0.0000,     3
   45.000000,  -111.000000,        -0.0873,         0.2799,        -0.3120,         0.0000,         0.0000,     6
   47.000000,  -111.000000,        -0.3310,         0.2646,        -1.2509,         0.0000,         0.0000,     1
   63.000000,  -111.000000,         4.3630,         1.1940,         3.6541,         1.0000,         4.3630,     1
   65.000000,  -111.000000,        -0.9670,         1.1363,        -0.8510,         0.0000,         0.0000,     2
   29.000000,  -109.000000,        -2.3000,         0.9277,        -2.4791,        -1.0000,        -2.3000,     3
   37.000000,  -109.000000,         0.5500,         0.6089,         0.9033,         0.0000,         0.0000,     1
   37.000000,  -107.000000,        -0.2215,         0.4373,        -0.5065,         0.0000,         0.0000,     2
   41.000000,  -107.000000,        -1.0270,         0.6716,        -1.5292,         0.0000,         0.0000,     1
   45.000000,  -107.000000,         0.1950,         0.7529,         0.2590,         0.0000,         0.0000,     1
   51.000000,  -107.000000,        -0.1900,         0.3836,        -0.4953,         0.0000,         0.0000,     1
   37.000000,  -105.000000,        -0.0730,         0.4547,        -0.1605,         0.0000,         0.0000,     1
   39.000000,  -105.000000,         1.1800,         0.7367,         1.6017,         0.0000,         0.0000,     1
   41.000000,  -105.000000,         0.0770,         0.7608,         0.1012,         0.0000,         0.0000,     1
   55.000000,  -105.000000,        -0.3760,         0.1296,        -2.9012,        -1.0000,        -0.3760,     1
   41.000000,  -103.000000,        -1.9010,         1.6150,        -1.1771,         0.0000,         0.0000,     1
   49.000000,  -101.000000,        -0.2410,         0.3432,        -0.7022,         0.0000,         0.0000,     1
   57.000000,  -101.000000,        -3.5470,         0.9476,        -3.7431,        -1.0000,        -3.5470,     1
   61.000000,  -101.000000,         5.4690,         1.4000,         3.9064,         1.0000,         5.4690,     1
   63.000000,  -101.000000,         4.8070,         2.2066,         2.1785,         1.0000,         4.8070,     1
   39.000000,   -99.000000,        -2.5040,         1.2548,        -1.9955,         0.0000,         0.0000,     1
   47.000000,   -99.000000,        -1.4150,         0.2230,        -6.3443,        -1.0000,        -1.4150,     2
   49.000000,   -99.000000,        -1.3490,         0.1903,        -7.0874,        -1.0000,        -1.3490,     2
   51.000000,   -99.000000,         1.2380,         0.1353,         9.1500,         1.0000,         1.2380,     1
   53.000000,   -99.000000,         0.9270,         0.2332,         3.9751,         1.0000,         0.9270,     1
   45.000000,   -97.000000,        -0.9085,         0.2328,        -3.9024,        -1.0000,        -0.9085,     2
   47.000000,   -97.000000,        -0.6875,         0.2222,        -3.0934,        -1.0000,        -0.6875,     2
   43.000000,   -95.000000,        -1.9550,         0.4464,        -4.3795,        -1.0000,        -1.9550,     1
   47.000000,   -95.000000,         0.3464,         0.1222,         2.8340,         1.0000,         0.3464,    12
   51.000000,   -95.000000,         0.0230,         0.2411,         0.0954,         0.0000,         0.0000,     1
   73.000000,   -95.000000,         0.7590,         0.1433,         5.2978,         1.0000,         0.7590,     2
   43.000000,   -93.000000,         0.4988,         0.5627,         0.8864,         0.0000,         0.0000,     5
   45.000000,   -93.000000,        -0.3771,         0.1256,        -3.0032,        -1.0000,        -0.3771,    11
   47.000000,   -93.000000,         0.6536,         0.1438,         4.5458,         1.0000,         0.6536,     7
   49.000000,   -93.000000,         1.0725,         0.3018,         3.5542,         1.0000,         1.0725,     2
   37.000000,   -91.000000,        -0.1780,         0.9494,        -0.1875,         0.0000,         0.0000,     1
   43.000000,   -91.000000,        -2.8500,         0.6592,        -4.3234,        -1.0000,        -2.8500,     1
   45.000000,   -91.000000,         0.5803,         0.1127,         5.1478,         1.0000,         0.5803,     3
   49.000000,   -91.000000,         1.8317,         0.2071,         8.8426,         1.0000,         1.8317,     3
   51.000000,   -91.000000,        -2.1300,         0.8720,        -2.4427,        -1.0000,        -2.1300,     1
   37.000000,   -89.000000,         2.7830,         1.4306,         1.9453,         0.0000,         0.0000,     1
   41.000000,   -89.000000,        -0.1530,         0.6312,        -0.2424,         0.0000,         0.0000,     1
   43.000000,   -89.000000,        -0.0183,         0.1048,        -0.1745,         0.0000,         0.0000,     7
   47.000000,   -89.000000,         1.1765,         0.1803,         6.5238,         1.0000,         1.1765,     2
   49.000000,   -89.000000,         0.9197,         0.2056,         4.4730,         1.0000,         0.9197,     3
   31.000000,   -87.000000,         1.3750,         0.7401,         1.8579,         0.0000,         0.0000,     1
   41.000000,   -87.000000,        -0.0643,         0.2658,        -0.2421,         0.0000,         0.0000,     3
   45.000000,   -87.000000,         0.2470,         0.1558,         1.5856,         0.0000,         0.0000,     3
   47.000000,   -87.000000,         1.1125,         0.2015,         5.5200,         1.0000,         1.1125,     2
   31.000000,   -85.000000,        -1.1400,         0.8920,        -1.2780,         0.0000,         0.0000,     1
   37.000000,   -85.000000,        -0.9390,         0.8784,        -1.0690,         0.0000,         0.0000,     1
   41.000000,   -85.000000,        -0.4320,         0.1341,        -3.2206,        -1.0000,        -0.4320,     2
   43.000000,   -85.000000,         0.7240,         0.1616,         4.4790,         1.0000,         0.7240,     2
   45.000000,   -85.000000,        -0.6500,         0.1419,        -4.5818,        -1.0000,        -0.6500,     3
   47.000000,   -85.000000,         0.3112,         0.1108,         2.8096,         1.0000,         0.3112,     5
   49.000000,   -85.000000,         0.4670,         0.3912,         1.1938,         0.0000,         0.0000,     1
   53.000000,   -85.000000,        -1.3940,         1.3603,        -1.0248,         0.0000,         0.0000,     1
   55.000000,   -85.000000,        -0.9570,         0.9778,        -0.9787,         0.0000,         0.0000,     1
   31.000000,   -83.000000,        -1.6580,         0.3825,        -4.3348,        -1.0000,        -1.6580,     3
   41.000000,   -83.000000,        -0.2130,         0.1386,        -1.5367,         0.0000,         0.0000,     3
   43.000000,   -83.000000,         0.8210,         0.4914,         1.6707,         0.0000,         0.0000,     1
   27.000000,   -81.000000,        -1.1280,         0.3253,        -3.4679,        -1.0000,        -1.1280,     3
   29.000000,   -81.000000,         2.5390,         0.0435,        58.3678,         1.0000,         2.5390,     1
   41.000000,   -81.000000,        -0.5905,         0.2512,        -2.3509,        -1.0000,        -0.5905,     2
   43.000000,   -81.000000,         0.0103,         0.1962,         0.0527,         0.0000,         0.0000,     3
   45.000000,   -81.000000,         0.1850,         0.1764,         1.0489,         0.0000,         0.0000,     4
   47.000000,   -81.000000,         1.0244,         0.1478,         6.9326,         1.0000,         1.0244,     5
   49.000000,   -81.000000,         1.5100,         0.2130,         7.0881,         1.0000,         1.5100,     2
   33.000000,   -79.000000,         0.6170,         0.9045,         0.6821,         0.0000,         0.0000,     1
   39.000000,   -79.000000,        -0.9690,         0.6603,        -1.4675,         0.0000,         0.0000,     1
   43.000000,   -79.000000,        -0.4380,         0.1630,        -2.6871,        -1.0000,        -0.4380,     4
   45.000000,   -79.000000,         0.0033,         0.0982,         0.0335,         0.0000,         0.0000,     7
   47.000000,   -79.000000,         0.1577,         0.2970,         0.5312,         0.0000,         0.0000,     4
   49.000000,   -79.000000,         2.4260,         0.2291,        10.5886,         1.0000,         2.4260,     2
   -5.000000,   -77.000000,        -1.0000,         2.0000,        -0.5000,         0.0000,         0.0000,     1
   37.000000,   -77.000000,        -3.7880,         0.9816,        -3.8590,        -1.0000,        -3.7880,     1
   41.000000,   -77.000000,        -0.4830,         0.3594,        -1.3439,         0.0000,         0.0000,     1
   43.000000,   -77.000000,         0.3930,         0.4339,         0.9057,         0.0000,         0.0000,     1
   45.000000,   -77.000000,         0.0348,         0.1069,         0.3250,         0.0000,         0.0000,     8
   53.000000,   -77.000000,        -0.0490,         1.1195,        -0.0438,         0.0000,         0.0000,     1
   55.000000,   -77.000000,        -1.4453,         0.4407,        -3.2796,        -1.0000,        -1.4453,     3
   57.000000,   -77.000000,        -0.3500,         0.1281,        -2.7322,        -1.0000,        -0.3500,     1
   41.000000,   -75.000000,         0.8637,         0.1427,         6.0535,         1.0000,         0.8637,     6
   43.000000,   -75.000000,         0.7005,         0.2096,         3.3423,         1.0000,         0.7005,     2
   45.000000,   -75.000000,         1.1287,         0.1400,         8.0652,         1.0000,         1.1287,     4
   47.000000,   -75.000000,         0.9715,         0.1213,         8.0080,         1.0000,         0.9715,     2
   49.000000,   -75.000000,        -0.3060,         0.9755,        -0.3137,         0.0000,         0.0000,     1
   57.000000,   -75.000000,        -0.0060,         0.1536,        -0.0391,         0.0000,         0.0000,     3
   59.000000,   -75.000000,        -1.4088,         0.4223,        -3.3361,        -1.0000,        -1.4088,     4
   41.000000,   -73.000000,         0.3460,         0.2586,         1.3381,         0.0000,         0.0000,     2
   43.000000,   -73.000000,         0.5202,         0.2195,         2.3700,         1.0000,         0.5202,     4
   45.000000,   -73.000000,         0.5239,         0.0979,         5.3488,         1.0000,         0.5239,     9
   47.000000,   -73.000000,         1.9152,         0.1251,        15.3147,         1.0000,         1.9152,     5
   49.000000,   -73.000000,         2.1300,         0.3288,         6.4781,         1.0000,         2.1300,     1
   59.000000,   -73.000000,        -3.3640,         0.1115,       -30.1704,        -1.0000,        -3.3640,     1
   41.000000,   -71.000000,        -1.0875,         0.3255,        -3.3406,        -1.0000,        -1.0875,     4
   43.000000,   -71.000000,        -0.4080,         0.1058,        -3.8563,        -1.0000,        -0.4080,     1
   45.000000,   -71.000000,         1.0954,         0.1210,         9.0500,         1.0000,         1.0954,     8
   47.000000,   -71.000000,         2.1076,         0.1156,        18.2325,         1.0000,         2.1076,    10
   49.000000,   -71.000000,         1.7930,         0.2619,         6.8461,         1.0000,         1.7930,     1
   55.000000,   -71.000000,        -3.1420,         0.5741,        -5.4729,        -1.0000,        -3.1420,     1
   41.000000,   -69.000000,         0.2750,         0.7336,         0.3749,         0.0000,         0.0000,     1
   43.000000,   -69.000000,        -0.9500,         0.1283,        -7.4037,        -1.0000,        -0.9500,     2
   45.000000,   -69.000000,        -0.1193,         0.2051,        -0.5817,         0.0000,         0.0000,     3
