,lat,lon,anom,err
295,-17.41,-71.7403,-0.115950743,1.7
178,47.47,12.36,-0.106607142,2.1
458,43.677,-2.228,-0.106493506,1.3
413,43.77,-69.3,-0.106083333,2.1
101,56.02,-74.95,-0.105925,2.1
100,56.28,-75.1,-0.104,2.1
548,45.99,-73.3,-0.101,2.1
163,27.714,34.6817,-0.097683133,2.1
34,38.4,13.6,-0.094389429,1.5
380,7.8558,-83.6083,-0.092674921,2.1
28,-7.3667,115.25,-0.089700393,2.1
120,56.1,-75.28,-0.0895,2.1
194,72.6947,-157.52,-0.08697619,1.2
134,74.9981,13.9685,-0.072274072,2.1
255,57.92,-75.62,-0.071285714,2.1
209,49.68,-1.28,-0.068750001,2.1
399,37.9049,-110.1304,-0.065976497,2.1
227,-54.3199,-69.4632,-0.064321429,1.7
94,75.35,-82.5,-0.046666667,2.1
359,-5.21,117.48,-0.046538647,2.1
73,41.64,-86.54,-0.043333333,2.1
226,68.1,-29.35,-0.0416,1.2
453,71.7363,42.6052,-0.039914286,1.2
526,66.62,13.68,-0.018222576,2.1
343,66.9697,7.6393,-0.013664396,2.1
280,59.22,27.58,-0.012925171,2.1
501,-0.79,99.9085,-0.008537662,1.9
315,6.6353,113.409,-0.000589433,2.1
281,59.2,-135.4,0,2.1
502,-0.79,99.9085,0.011441398,2.1
499,3.5167,96.3167,0.046133333,1.9
386,78.9157,6.7672,0.048465319,2.1
30,-7.4,115.2,0.050754377,2.1
532,41.39,-74.2,0.052056278,2.1
115,34.41,-95.81,0.055431667,2.1
330,39.0367,-10.6605,0.062982619,1.7
142,-9.0099,120.0153,0.065735457,2.1
106,-75.1019,123.3953,0.081796061,2.1
469,45.04,-93.63,0.085694444,2.1
292,52.95,-131.76,0.088,2.1
411,-37.92,175.37,0.088868182,2.1
275,-66.7697,112.8069,0.095,2.1
457,10.7,-65.9417,0.10444337,2.1
46,52.78,17.73,0.109295163,2.1
257,58.58,-75.25,0.11325,2.1
236,56.2333,-27.65,0.133797415,2.1
566,-78.5,108,0.13456121,2.1
480,62.0905,-17.8197,0.137549386,2.1
10,-40.9333,172.5333,0.142709538,2.1
547,32.9,-4.65,0.16,2.1
185,44.98,-69.32,0.16425,2.1
471,44.03,-70.35,0.169066667,2.1
573,46.82,7.74,0.182857144,2.1
478,64.12,-110.57,0.1865,2.1
199,54.6165,-56.1767,0.194657548,2.1
584,49.75,25.45,0.2,2.1
441,-64.8619,-64.208,0.210747588,2.9
299,12.0897,-61.2437,0.215875,1.5
381,68.27,-133.47,0.222,2.1
269,41.42,-84.75,0.235291667,2.1
165,-5.6,11.2,0.240833333,2.9
408,47.49,7.02,0.244724747,2.1
301,36.38,-7.0717,0.253023932,2.1
9,33.96,-119.98,0.2595,2.1
152,-4.6133,-36.6367,0.26375,1.9
49,46.26,7.84,0.266499999,2.1
176,-3.6298,119.36,0.268425,1.5
503,1.155,98.066,0.272620894,2.1
174,-19.2018,37.0415,0.2741375,1.9
283,44.17,-123.58,0.27825,2.1
516,45.96,-73.87,0.284,2.1
445,63.7622,5.2553,0.287099441,1.5
414,46.86,-98.16,0.294363636,2.1
311,-13.0825,121.788,0.2961625,1.9
450,73.683,-162.66,0.29624,1.2
346,36.1433,-2.6212,0.298541559,2.1
71,-45.72,170.12,0.30693,2.1
486,43.4,-88.1,0.308275,2.1
44,42.5,-73.32,0.3084,2.1
13,-46.42,169.28,0.31855,2.1
514,46.68,7.98,0.325113636,2.1
243,31.63,128.95,0.337594949,1.9
12,55.83,13.42,0.344928571,2.1
392,-11.2939,34.4372,0.350833333,2.1
56,49.68,-74.58,0.356571429,2.1
169,20.2133,-18.4517,0.363826866,1.7
366,6.3,125.82,0.374673907,1.9
433,61.4253,-24.0824,0.37914637,2.1
507,14.321,57.347,0.3875,1.3
204,46.79,7.83,0.395000001,2.1
47,52.55,20.67,0.397699134,2.1
447,11.955,44.3,0.401157546,2.9
387,68.4719,-54.002,0.417222222,1.2
542,36.2052,-4.3122,0.418253968,2.9
22,45.54,-73.31,0.418666667,2.1
144,-17.1572,11.0117,0.419290609,2.1
217,49.13,117.5,0.4265,2.1
93,43.42,-89.73,0.427525,2.1
525,-27.2415,28.5447,0.444215571,2.1
449,11.955,44.3,0.444663707,2.1
268,50.55,-66.27,0.447166667,2.1
175,-19.2018,37.0415,0.447209599,2.1
156,-41,-74.3,0.450090423,1.7
182,54.09,18.55,0.458253967,2.1
462,43.87,-64.93,0.478703704,2.1
250,64.17,-127.62,0.498,2.1
509,24.61,65.982,0.508654342,2.1
24,66.8911,-18.9744,0.516203624,2.1
148,-23.315,12.3767,0.528208652,1.7
378,7.8558,-83.6083,0.5307,1.9
520,46.87,10.48,0.531250001,2.1
521,44.59,-93.41,0.541547618,2.1
421,10.7833,51.9333,0.542217932,2.9
172,-18.565,37.38,0.545046472,2.9
32,-3.5667,119.3833,0.553939871,2.1
567,-79.4676,-112.08,0.564948309,2.1
511,37.767,-10.183,0.570968836,1.7
171,-18.565,37.38,0.571166667,1.9
147,-7.1383,39.8408,0.57186758,2.1
506,14.321,57.347,0.579292845,2.1
412,41.82,-73.29,0.59425,2.1
38,46.4,-78.92,0.603285714,2.1
60,61.68,-130.65,0.6053125,2.1
29,-7.4,115.2,0.605468788,1.9
5,34.2875,-120.036,0.612757295,1.5
312,-13.0825,121.788,0.618348651,2.1
459,71.35,22.6333,0.63,1.3
229,-64.2017,-57.685,0.630609091,2.1
310,37.565,-10.134,0.661666667,1.7
308,-3.9502,-81.3205,0.661968609,1.5
160,2.5,9.384,0.67000625,1.9
215,64.63,-138.4,0.670509259,2.1
290,45.03,-68.2,0.671,2.1
256,58.583,-75.25,0.6715,2.1
74,33.8,-78.95,0.671816667,2.1
579,-24.4391,28.7507,0.676458333,2.1
527,41.24,-74.2,0.686984129,2.1
86,69.17,20.72,0.696857143,2.1
260,-25.84,-45.2,0.711791667,1.3
157,-41,-74.3,0.713679174,2.1
495,10.9775,74.9993,0.718245833,1.9
348,8.728,109.869,0.720417461,2.9
440,-25.5139,13.0278,0.720837222,1.9
208,52.93,-66.95,0.72725,2.1
358,-5.21,117.48,0.727378667,1.9
512,74.957,13.899,0.728157368,1.7
231,26.374,-92.027,0.74665,1.9
394,45.04,-68.73,0.74825036,2.1
272,-14.4667,-61.0667,0.75,2.1
116,58.58,13.67,0.757675324,2.1
466,46.03,-77.34,0.768416667,2.1
435,20.75,-18.58,0.768824121,1.5
3,68.9925,-106.5735,0.784714286,1.2
135,72.6,-38.5,0.798970909,2.1
383,78.9157,6.7672,0.80021645,1.3
324,-66.0512,138.5572,0.804,2.9
382,78.916,6.767,0.809380952,1.2
317,36.033,141.783,0.812136417,2.1
68,-3.3167,37.7,0.8625,2.1
496,10.9775,74.9993,0.88516391,2.1
19,48.01,6.99,0.888333333,2.1
448,11.955,44.3,0.895384444,1.9
52,45.57,-70.68,0.9005,2.1
63,48.2,-64.94,0.901,2.1
31,-3.5667,119.3833,0.911862689,1.9
62,30.85,-10.2685,0.927060606,1.7
6,34.2875,-120.036,0.930185511,1.5
37,47.19,-1.86,0.944577922,2.1
587,68.33,19.1,0.958416667,2.1
543,36.2052,-4.3122,0.971088464,1.5
474,46.57,6.17,0.978743198,2.1
0,36.2054,-4.3127,0.985,1.7
451,40.4,143.5,0.987575277,1.7
200,54.7952,-56.0583,0.988915871,2.1
289,-46.23,167.83,0.993306667,2.1
284,47.29,-93.6,1.002666667,2.1
125,56.1633,-31.99,1.022276502,2.1
419,55.5,-14.5833,1.025,1.3
14,72.6,-38.5,1.041989692,2.1
41,54.09,24.12,1.0715,2.1
375,66.6413,-20.8632,1.086037554,2.1
50,55.58,-119.43,1.101,2.1
513,0.08,37.53,1.116666667,2.1
48,42.08,-71.96,1.120875848,2.1
179,60.08,15.83,1.121159091,2.1
531,54.03,28.1,1.138928573,2.1
211,30.45,110.4167,1.139583333,2.1
442,51.7,23.96,1.141428572,2.1
