,0
0,AWIESM1
1,AWIESM2
2,CCSM4-UofT
3,CESM1-2
4,CESM2-1
5,HadCM3-GLAC1D
6,HadCM3-ICE6GC
7,HadCM3-PMIP3
8,iLOVECLIM1-1-1-GLAC-1D
9,iLOVECLIM1-1-1-ICE-6G-C
10,INM-CM4-8
11,IPSLCM5A2
12,MIROC-ES2L
13,MPI-ESM1-2
